User Id,Investment Id,Investment Status,Investment Round,Industry,Amount Invested
,42725,withdrawn,1212,Bienes raíces,"$12,000.00"
,43874,canceled_by_expiration,1212,Bienes raíces,"$15,000.00"
,43926,canceled_by_expiration,1212,Bienes raíces,"$20,000.00"
,44197,canceled_by_expiration,1226,Bienes raíces,"$30,000.00"
,44209,completed,1226,Bienes raíces,"$50,000.00"
,45746,completed,1239,Productos de Consumo,"$22,000.00"
68,42735,completed,1212,Bienes raíces,"$5,000.00"
69,41097,completed,1197,Productos de Consumo,"$25,000.00"
,42393,withdrawn,1164,Servicios especializados,"$20,000.00"
,44302,withdrawn_by_choice,1238,Tecnología y comunicación,"$16,000.00"
,45666,completed,1239,Productos de Consumo,"$22,000.00"
70,43080,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,750.00"
,43408,canceled_by_expiration,1164,Servicios especializados,"$5,500.00"
,44390,completed,1238,Tecnología y comunicación,"$5,750.00"
,45380,withdrawn,1201,Bienes raíces,"$8,000.00"
,45613,completed,1239,Productos de Consumo,"$8,800.00"
,46298,canceled_by_expiration,1201,Bienes raíces,"$9,600.00"
,46398,completed,1201,Bienes raíces,"$6,000.00"
71,44153,canceled_by_failed_round,1206,Tecnología y comunicación,"$200,000.00"
,45795,canceled_by_expiration,1201,Bienes raíces,"$100,000.00"
72,42346,completed,1197,Productos de Consumo,"$5,000.00"
73,43751,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,46508,canceled_by_expiration,1201,Bienes raíces,"$5,250.00"
74,41052,withdrawn,1197,Productos de Consumo,"$20,000.00"
,41691,canceled_by_expiration,1197,Productos de Consumo,"$16,000.00"
,41819,canceled_by_expiration,1197,Productos de Consumo,"$12,000.00"
,43359,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
,43360,canceled_by_expiration,1164,Servicios especializados,"$12,000.00"
,44814,withdrawn,1238,Tecnología y comunicación,"$12,000.00"
,45944,withdrawn,1239,Productos de Consumo,"$20,000.00"
,46586,canceled_by_expiration,1239,Productos de Consumo,"$12,000.00"
,46587,canceled_by_expiration,1201,Bienes raíces,"$12,600.00"
75,40519,completed,1171,Infraestructura,"$5,000.00"
,41479,withdrawn,1197,Productos de Consumo,"$5,000.00"
,41841,completed,1197,Productos de Consumo,"$5,000.00"
,42528,completed,1164,Servicios especializados,"$11,000.00"
,42692,completed,1212,Bienes raíces,"$5,000.00"
,43160,canceled_by_failed_round,1206,Tecnología y comunicación,"$11,000.00"
,44952,canceled_by_expiration,1238,Tecnología y comunicación,"$5,750.00"
76,42366,canceled_by_expiration,1197,Productos de Consumo,"$5,000.00"
77,44174,completed,1226,Bienes raíces,"$5,000.00"
78,40681,completed,1171,Infraestructura,"$30,000.00"
,40802,withdrawn_by_choice,1197,Productos de Consumo,"$33,000.00"
,45663,withdrawn,1239,Productos de Consumo,"$30,030.00"
79,45464,completed,1201,Bienes raíces,"$11,000.00"
,46042,withdrawn_by_choice,1239,Productos de Consumo,"$8,000.00"
,46414,completed,1239,Productos de Consumo,"$9,600.00"
80,42517,completed,1164,Servicios especializados,"$5,000.00"
,44661,completed,1238,Tecnología y comunicación,"$5,000.00"
,45940,withdrawn,1239,Productos de Consumo,"$5,000.00"
81,40792,completed,1197,Productos de Consumo,"$180,000.00"
,45088,completed,1201,Bienes raíces,"$100,050.00"
,45634,completed,1239,Productos de Consumo,"$100,100.00"
82,41026,completed,1197,Productos de Consumo,"$5,000.00"
,42545,completed,1164,Servicios especializados,"$5,000.00"
,42868,withdrawn,1212,Bienes raíces,"$5,000.00"
,43227,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,43877,completed,1212,Bienes raíces,"$5,000.00"
,44306,withdrawn,1238,Tecnología y comunicación,"$5,000.00"
,46000,withdrawn,1239,Productos de Consumo,"$5,000.00"
83,44561,completed,1238,Tecnología y comunicación,"$12,000.00"
,46068,completed,1239,Productos de Consumo,"$12,000.00"
84,44194,withdrawn,1226,Bienes raíces,"$5,000.00"
85,45335,withdrawn_by_choice,1201,Bienes raíces,"$8,000.00"
,45345,completed,1201,Bienes raíces,"$8,000.00"
86,41593,completed,1197,Productos de Consumo,"$5,000.00"
,43837,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44503,withdrawn,1238,Tecnología y comunicación,"$5,000.00"
,45519,completed,1201,Bienes raíces,"$8,000.00"
,46119,withdrawn,1239,Productos de Consumo,"$5,000.00"
87,45627,withdrawn,1239,Productos de Consumo,"$8,800.00"
88,41533,completed,1197,Productos de Consumo,"$5,000.00"
,43050,completed,1164,Servicios especializados,"$5,000.00"
,43051,completed,1212,Bienes raíces,"$5,000.00"
,44926,completed,1238,Tecnología y comunicación,"$12,000.00"
89,40704,withdrawn,1171,Infraestructura,"$5,000.00"
,45278,withdrawn,1201,Bienes raíces,"$8,000.00"
90,42937,withdrawn,1212,Bienes raíces,"$5,000.00"
,43095,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,750.00"
,44398,withdrawn,1238,Tecnología y comunicación,"$5,750.00"
91,41979,completed,1164,Servicios especializados,"$12,000.00"
,42707,completed,1212,Bienes raíces,"$12,000.00"
,45907,completed,1239,Productos de Consumo,"$12,000.00"
92,42383,completed,1197,Productos de Consumo,"$5,000.00"
93,43591,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
94,41469,completed,1197,Productos de Consumo,"$8,000.00"
,41913,completed,1164,Servicios especializados,"$8,000.00"
,42853,completed,1212,Bienes raíces,"$5,000.00"
,43209,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
95,45736,withdrawn_by_choice,1239,Productos de Consumo,"$20,000.00"
96,43111,completed,1212,Bienes raíces,"$5,000.00"
,46187,withdrawn_by_choice,1239,Productos de Consumo,"$5,000.00"
97,43562,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
98,41089,completed,1197,Productos de Consumo,"$20,000.00"
99,40788,completed,1197,Productos de Consumo,"$5,500.00"
,42719,completed,1212,Bienes raíces,"$12,000.00"
,43348,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
,46203,completed,1239,Productos de Consumo,"$5,000.00"
100,42474,withdrawn_by_choice,1164,Servicios especializados,"$8,000.00"
101,45424,withdrawn,1201,Bienes raíces,"$12,000.00"
102,44610,completed,1238,Tecnología y comunicación,"$5,000.00"
103,40623,withdrawn,1171,Infraestructura,"$12,000.00"
,41119,completed,1197,Productos de Consumo,"$5,000.00"
,41941,withdrawn,1164,Servicios especializados,"$13,800.00"
,44295,completed,1238,Tecnología y comunicación,"$5,000.00"
104,41000,completed,1197,Productos de Consumo,"$12,000.00"
,44942,completed,1238,Tecnología y comunicación,"$12,000.00"
,45799,withdrawn,1239,Productos de Consumo,"$12,000.00"
105,43489,canceled_by_expiration,1164,Servicios especializados,"$5,500.00"
106,42730,completed,1212,Bienes raíces,"$5,000.00"
,45303,withdrawn,1201,Bienes raíces,"$5,000.00"
107,43949,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
108,40695,completed,1171,Infraestructura,"$8,000.00"
,40858,completed,1197,Productos de Consumo,"$27,500.00"
,41930,withdrawn,1164,Servicios especializados,"$34,500.00"
,42664,completed,1164,Servicios especializados,"$48,900.00"
,42699,completed,1212,Bienes raíces,"$15,000.00"
,43084,canceled_by_failed_round,1206,Tecnología y comunicación,"$32,600.00"
,44136,completed,1226,Bienes raíces,"$5,000.00"
,44404,completed,1238,Tecnología y comunicación,"$23,000.00"
,45520,completed,1201,Bienes raíces,"$16,000.00"
,45700,completed,1239,Productos de Consumo,"$20,000.00"
109,43374,completed,1164,Servicios especializados,"$8,800.00"
110,40746,completed,1171,Infraestructura,"$12,000.00"
,43433,canceled_by_expiration,1164,Servicios especializados,"$8,800.00"
,44445,completed,1238,Tecnología y comunicación,"$12,000.00"
,45491,completed,1201,Bienes raíces,"$12,000.00"
,46493,canceled_by_expiration,1239,Productos de Consumo,"$12,000.00"
111,42485,completed,1164,Servicios especializados,"$12,000.00"
,46455,completed,1201,Bienes raíces,"$12,000.00"
112,44058,canceled_by_failed_round,1206,Tecnología y comunicación,"$8,000.00"
113,45272,withdrawn,1201,Bienes raíces,"$12,000.00"
114,41223,completed,1197,Productos de Consumo,"$12,000.00"
115,41447,completed,1197,Productos de Consumo,"$5,000.00"
,43031,withdrawn_by_choice,1212,Bienes raíces,"$20,000.00"
,43664,completed,1212,Bienes raíces,"$5,000.00"
,44151,completed,1226,Bienes raíces,"$5,000.00"
,44622,withdrawn_by_choice,1238,Tecnología y comunicación,"$5,000.00"
,45456,completed,1201,Bienes raíces,"$5,000.00"
,46099,completed,1239,Productos de Consumo,"$5,000.00"
116,42789,withdrawn,1212,Bienes raíces,"$20,000.00"
117,43217,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
118,45313,completed,1201,Bienes raíces,"$50,000.00"
,45869,completed,1239,Productos de Consumo,"$25,000.00"
119,40760,completed,1197,Productos de Consumo,"$12,000.00"
,42161,withdrawn_by_choice,1164,Servicios especializados,"$20,000.00"
,42534,completed,1164,Servicios especializados,"$5,000.00"
,42702,completed,1212,Bienes raíces,"$12,000.00"
,43068,canceled_by_failed_round,1206,Tecnología y comunicación,"$25,800.00"
,45547,withdrawn,1239,Productos de Consumo,"$16,000.00"
,46603,completed,1239,Productos de Consumo,"$16,000.00"
120,42820,withdrawn,1212,Bienes raíces,"$8,000.00"
121,41376,completed,1197,Productos de Consumo,"$12,000.00"
,44349,completed,1238,Tecnología y comunicación,"$5,000.00"
,45609,completed,1239,Productos de Consumo,"$13,200.00"
122,40750,canceled_by_expiration,1171,Infraestructura,"$5,000.00"
,41604,withdrawn,1197,Productos de Consumo,"$12,000.00"
,43057,completed,1164,Servicios especializados,"$5,000.00"
,43296,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44558,withdrawn_by_choice,1238,Tecnología y comunicación,"$12,000.00"
,44845,withdrawn,1238,Tecnología y comunicación,"$12,500.00"
,45480,withdrawn,1201,Bienes raíces,"$5,000.00"
,46058,withdrawn,1239,Productos de Consumo,"$5,000.00"
123,45139,withdrawn,1201,Bienes raíces,"$8,000.00"
124,41174,withdrawn,1197,Productos de Consumo,"$12,000.00"
,43200,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
,46363,withdrawn,1239,Productos de Consumo,"$14,400.00"
125,42860,withdrawn_by_choice,1212,Bienes raíces,"$5,000.00"
,44550,completed,1238,Tecnología y comunicación,"$5,000.00"
,45245,completed,1201,Bienes raíces,"$5,000.00"
,46052,completed,1239,Productos de Consumo,"$5,000.00"
126,41149,withdrawn,1197,Productos de Consumo,"$5,000.00"
,42814,withdrawn,1212,Bienes raíces,"$5,000.00"
,45683,withdrawn,1239,Productos de Consumo,"$5,000.00"
127,43431,canceled_by_expiration,1164,Servicios especializados,"$104,500.00"
,45888,withdrawn,1239,Productos de Consumo,"$50,000.00"
128,43010,withdrawn,1212,Bienes raíces,"$12,000.00"
,43353,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
129,46009,withdrawn,1239,Productos de Consumo,"$5,000.00"
130,45712,completed,1239,Productos de Consumo,"$5,000.00"
131,41109,completed,1197,Productos de Consumo,"$8,000.00"
132,40506,completed,1171,Infraestructura,"$8,000.00"
133,45942,completed,1239,Productos de Consumo,"$8,000.00"
134,42147,withdrawn,1164,Servicios especializados,"$5,000.00"
135,43633,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
136,43674,canceled_by_failed_round,1206,Tecnología y comunicación,"$13,000.00"
137,41789,completed,1197,Productos de Consumo,"$5,000.00"
,43212,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,44411,withdrawn_by_choice,1238,Tecnología y comunicación,"$5,000.00"
,44769,completed,1238,Tecnología y comunicación,"$13,800.00"
,45419,completed,1201,Bienes raíces,"$5,000.00"
,45896,completed,1239,Productos de Consumo,"$12,000.00"
138,40780,completed,1197,Productos de Consumo,"$135,000.00"
,43132,canceled_by_failed_round,1206,Tecnología y comunicación,"$100,000.00"
,45659,completed,1239,Productos de Consumo,"$165,000.00"
139,41934,completed,1164,Servicios especializados,"$5,000.00"
140,40984,completed,1197,Productos de Consumo,"$12,000.00"
,46189,withdrawn,1239,Productos de Consumo,"$12,000.00"
141,45152,withdrawn_by_choice,1201,Bienes raíces,"$5,750.00"
,46412,canceled_by_expiration,1201,Bienes raíces,"$6,000.00"
142,43108,canceled_by_failed_round,1206,Tecnología y comunicación,"$20,700.00"
,44471,completed,1238,Tecnología y comunicación,"$34,500.00"
143,45826,completed,1239,Productos de Consumo,"$8,000.00"
144,46246,withdrawn,1239,Productos de Consumo,"$16,000.00"
145,41978,completed,1164,Servicios especializados,"$43,200.00"
146,40551,withdrawn,1171,Infraestructura,"$12,000.00"
,43434,completed,1164,Servicios especializados,"$12,000.00"
,43435,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
,43744,withdrawn,1212,Bienes raíces,"$13,000.00"
147,43726,completed,1212,Bienes raíces,"$12,000.00"
148,41641,completed,1197,Productos de Consumo,"$12,000.00"
,42149,withdrawn_by_choice,1164,Servicios especializados,"$8,000.00"
149,40960,completed,1197,Productos de Consumo,"$22,000.00"
,42405,completed,1164,Servicios especializados,"$20,000.00"
,43730,completed,1212,Bienes raíces,"$20,000.00"
,44279,completed,1238,Tecnología y comunicación,"$25,000.00"
,45722,completed,1239,Productos de Consumo,"$20,000.00"
150,41188,completed,1197,Productos de Consumo,"$12,000.00"
,42082,completed,1164,Servicios especializados,"$13,800.00"
,42727,completed,1212,Bienes raíces,"$8,000.00"
,43110,canceled_by_failed_round,1206,Tecnología y comunicación,"$15,200.00"
,44580,completed,1238,Tecnología y comunicación,"$5,000.00"
,45292,completed,1201,Bienes raíces,"$8,000.00"
151,40651,completed,1171,Infraestructura,"$5,000.00"
152,40808,withdrawn_by_choice,1197,Productos de Consumo,"$56,000.00"
,41684,completed,1197,Productos de Consumo,"$88,000.00"
,41942,completed,1164,Servicios especializados,"$64,400.00"
,43067,canceled_by_failed_round,1206,Tecnología y comunicación,"$98,900.00"
,44485,withdrawn,1238,Tecnología y comunicación,"$103,500.00"
153,41914,completed,1164,Servicios especializados,"$9,200.00"
,42682,completed,1212,Bienes raíces,"$12,000.00"
,44339,completed,1238,Tecnología y comunicación,"$5,750.00"
154,44236,completed,1232,Bienes raíces,"$12,000.00"
155,41072,completed,1197,Productos de Consumo,"$5,000.00"
156,40821,completed,1197,Productos de Consumo,"$12,000.00"
157,45935,withdrawn,1239,Productos de Consumo,"$5,000.00"
158,44071,canceled_by_failed_round,1206,Tecnología y comunicación,"$12,000.00"
159,41025,withdrawn,1197,Productos de Consumo,"$5,000.00"
,42001,withdrawn,1164,Servicios especializados,"$5,000.00"
,42714,withdrawn,1212,Bienes raíces,"$5,000.00"
,43913,canceled_by_expiration,1212,Bienes raíces,"$5,000.00"
160,40795,completed,1197,Productos de Consumo,"$8,800.00"
,41925,completed,1164,Servicios especializados,"$9,200.00"
,42734,completed,1212,Bienes raíces,"$8,000.00"
,44026,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,500.00"
,44322,completed,1238,Tecnología y comunicación,"$5,750.00"
,45156,withdrawn_by_choice,1201,Bienes raíces,"$5,750.00"
161,42101,canceled_by_expiration,1197,Productos de Consumo,"$20,000.00"
162,46635,withdrawn_by_choice,1239,Productos de Consumo,"$8,000.00"
,46642,completed,1239,Productos de Consumo,"$8,000.00"
163,41038,completed,1197,Productos de Consumo,"$30,000.00"
164,40999,completed,1197,Productos de Consumo,"$8,000.00"
,43383,completed,1164,Servicios especializados,"$5,500.00"
,46460,completed,1201,Bienes raíces,"$8,000.00"
165,44771,canceled_by_profile,1238,Tecnología y comunicación,"$20,000.00"
,44967,completed,1238,Tecnología y comunicación,"$20,000.00"
166,40855,completed,1197,Productos de Consumo,"$5,000.00"
,44946,completed,1238,Tecnología y comunicación,"$8,000.00"
167,40902,completed,1197,Productos de Consumo,"$120,000.00"
,45917,withdrawn_by_choice,1239,Productos de Consumo,"$60,000.00"
,46242,withdrawn_by_choice,1239,Productos de Consumo,"$52,000.00"
168,42283,withdrawn_by_choice,1197,Productos de Consumo,"$5,000.00"
,43271,canceled_by_failed_round,1206,Tecnología y comunicación,"$5,000.00"
,45833,completed,1239,Productos de Consumo,"$5,000.00"
169,41779,completed,1197,Productos de Consumo,"$8,000.00"
,42037,completed,1164,Servicios especializados,"$8,000.00"
,45273,completed,1201,Bienes raíces,"$8,000.00"
,45619,completed,1239,Productos de Consumo,"$8,800.00"
170,45908,withdrawn,1239,Productos de Consumo,"$12,000.00"
,45934,withdrawn_by_choice,1201,Bienes raíces,"$16,100.00"
171,40843,withdrawn,1197,Productos de Consumo,"$8,800.00"
,41970,completed,1164,Servicios especializados,"$5,750.00"
,44861,withdrawn,1238,Tecnología y comunicación,"$5,000.00"
,46217,withdrawn,1239,Productos de Consumo,"$5,000.00"
172,46284,completed,1239,Productos de Consumo,"$100,000.00"
173,40717,completed,1171,Infraestructura,"$12,000.00"
,41654,withdrawn,1197,Productos de Consumo,"$40,000.00"
,42325,withdrawn,1164,Servicios especializados,"$20,000.00"
,42326,canceled_by_expiration,1197,Productos de Consumo,"$20,000.00"
,42388,canceled_by_expiration,1197,Productos de Consumo,"$20,000.00"
